,date,date_jd,ra,dec,lon,lat,lonR,latR
76,2029-Apr-13 19:50,2462240.326,352.47836,4.156790000000001,-83.168861324435,-10.363952915534314,-57.92957507882602,-10.364756957690394
77,2029-Apr-13 19:55,2462240.33,351.38322,3.2651300000000005,-81.93628016160926,-9.645660185660596,-57.95921852676173,-9.64643736126332
78,2029-Apr-13 20:00,2462240.333,350.23296,2.3256200000000002,-80.64497781111879,-8.885145280882423,-57.61456755663363,-8.885899435457608
79,2029-Apr-13 20:05,2462240.337,349.02385,1.33569,-79.29154685743231,-8.079853565053204,-57.52335701707136,-8.08057865640712
80,2029-Apr-13 20:10,2462240.34,347.75186999999994,0.2927999999999999,-77.87240669928752,-7.227211315303873,-57.05086388788004,-7.227909675332328
81,2029-Apr-13 20:15,2462240.344,346.41273,-0.8054899999999999,-76.38384861364574,-6.324678278408759,-56.82452211851199,-6.325343921340803
82,2029-Apr-13 20:20,2462240.347,345.00185,-1.96147,-74.82203901717486,-5.369784618428909,-56.20935482606865,-5.370418049536312
83,2029-Apr-13 20:25,2462240.351,343.51436,-3.1771800000000003,-73.18305066236928,-4.360212798430695,-55.832578114413366,-4.360807968148033
84,2029-Apr-13 20:30,2462240.354,341.94512,-4.45426,-71.46292029876844,-3.2939249242813164,-55.05908483559267,-3.2944801777264603
85,2029-Apr-13 20:35,2462240.358,340.2887,-5.793839999999999,-69.65766061109912,-2.1692542397165635,-54.51603200191522,-2.1697633449293074
86,2029-Apr-13 20:40,2462240.361,338.53947999999997,-7.196380000000001,-67.76339615124147,-0.9850301887515235,-53.56839873715472,-0.9854890181201141
87,2029-Apr-13 20:45,2462240.365,336.69160999999997,-8.66143,-65.77636672909381,0.2591997876531227,-52.84357062579369,0.2587977260734122
88,2029-Apr-13 20:50,2462240.368,334.73919,-10.18745,-63.69313450103874,1.563033198463915,-51.70696262491907,1.5626947196466234
89,2029-Apr-13 20:55,2462240.372,332.67625,-11.771610000000003,-61.510588207818614,2.9250297250040016,-50.78661119273977,2.924761541678162
90,2029-Apr-13 21:00,2462240.375,330.49703,-13.40948,-59.22624027657241,4.342446960887402,-49.44887950251109,4.3422585830447975
91,2029-Apr-13 21:05,2462240.378,328.19603,-15.09489,-56.838261912674795,5.81111227113622,-48.0075123029697,5.811013072429504
92,2029-Apr-13 21:10,2462240.382,325.76836,-16.819700000000005,-54.34579595394911,7.325223292675586,-46.77722853139039,7.325219734961099
93,2029-Apr-13 21:15,2462240.385,323.20995,-18.57371,-51.74908799907223,8.877256954367935,-45.12712043658132,8.877361786505684
94,2029-Apr-13 21:20,2462240.389,320.51794,-20.344630000000002,-49.049748726694816,10.457932653084551,-43.68995241827662,10.458151283630455
95,2029-Apr-13 21:25,2462240.392,317.69106,-22.11816,-46.25095278671171,12.056256331159805,-41.83774260083385,12.056602432379321
96,2029-Apr-13 21:30,2462240.396,314.73006,-23.87827,-43.35762481560562,13.659736360772955,-40.20657220363461,13.660213183306961
97,2029-Apr-13 21:35,2462240.399,311.63818,-25.60762,-40.37661230802365,15.25470680789344,-38.17212883583477,15.255327452441357
98,2029-Apr-13 21:40,2462240.403,308.42151999999993,-27.288099999999996,-37.316726568113495,16.826731411110693,-36.3743839574488,16.82749573128304
99,2029-Apr-13 21:45,2462240.406,305.08943999999997,-28.90156,-34.18879414388596,18.36116910039024,-34.193000856175615,18.36208799717215
100,2029-Apr-13 21:50,2462240.41,301.65472,-30.430590000000002,-31.005507922529375,19.843760469616967,-32.271836884688526,19.844829400170763
101,2029-Apr-13 21:55,2462240.413,298.1336,-31.859350000000003,-27.781232388985416,21.261256835887142,-29.99408933400707,21.262483198927267
102,2029-Apr-13 22:00,2462240.417,294.54552,-33.17428000000001,-24.531642619860804,22.60193852110581,-28.006602533683747,22.603313041234244
103,2029-Apr-13 22:05,2462240.42,290.91267,-34.36475999999999,-21.273332030876134,23.856116801363477,-25.69479950990427,23.85764281306597
104,2029-Apr-13 22:10,2462240.424,287.25919,-35.423500000000004,-18.023260016816323,25.016422086207214,-23.706813872537566,25.018086136467712
105,2029-Apr-13 22:15,2462240.427,283.61027,-36.34674,-14.798256026430465,26.077973477777075,-21.428301048102753,26.0797751674675
106,2029-Apr-13 22:20,2462240.431,279.99102999999997,-37.13418999999999,-11.614434046859628,27.03837063234153,-19.506553919981457,27.04029365993994
107,2029-Apr-13 22:25,2462240.434,276.42553999999996,-37.78871,-8.486780373899137,27.897495165560965,-17.325381802542267,27.899536414057593
108,2029-Apr-13 22:30,2462240.438,272.93580000000003,-38.315929999999994,-5.428700684372075,28.657316908692923,-15.529373244098053,28.659458915521952
109,2029-Apr-13 22:35,2462240.441,269.541,-38.72363,-2.4517386593770993,29.321493431569568,-13.498891464431267,29.323731645601878
110,2029-Apr-13 22:40,2462240.444,266.25703999999996,-39.02116,0.4345761139062336,29.89501778104227,-11.559059081827058,29.897340906259537
111,2029-Apr-13 22:45,2462240.448,263.09630999999996,-39.21886000000001,3.2227724501690713,30.383851923567075,-10.032942728003206,30.38624361681548
112,2029-Apr-13 22:50,2462240.451,260.06767,-39.327479999999994,5.907429799093877,30.79453302940829,-8.294778303139879,30.796988581339786
