,targetname,datetime_jd,datetime_str,H,G,x,y,z,vx,vy,vz,lighttime,range,range_rate,delta (Rt)
78,99942 Apophis (2004 MN4),2462240.333333333,A.D. 2029-Apr-13 20:00:00.0000,19.09,0.24,-0.0003739380518793332,5.065732814645158e-05,-4.035319838988283e-05,0.003043396032669595,0.002371234462637068,0.001086594547863742,2.191839356137259e-06,0.0003795052201993293,-0.002797771124385092,8.84942853261141
79,99942 Apophis (2004 MN4),2462240.336805556,A.D. 2029-Apr-13 20:05:00.0000,19.09,0.24,-0.0003633334522009866,5.88854041746153e-05,-3.657636963605685e-05,0.003065027342709507,0.002368015561816645,0.001088850831608995,2.136290135568885e-06,0.0003698871708086777,-0.002741407928115628,8.624908810312162
80,99942 Apophis (2004 MN4),2462240.340277778,A.D. 2029-Apr-13 20:10:00.0000,19.09,0.24,-0.0003526519112126632,6.71009787932804e-05,-3.279180207606228e-05,0.003087719947508185,0.002364017105365185,0.001091048419391151,2.081921867362281e-06,0.0003604735969809107,-0.002679918670990479,8.405282166015688
81,99942 Apophis (2004 MN4),2462240.34375,A.D. 2029-Apr-13 20:15:00.0000,19.09,0.24,-0.0003418896877811628,7.530116672670898e-05,-2.899974003162594e-05,0.003111505067989603,0.002359134505051558,0.00109316333344189,2.028841925189614e-06,0.0003512830898910543,-0.002612842446516371,8.190993358852074
82,99942 Apophis (2004 MN4),2462240.347222222,A.D. 2029-Apr-13 20:20:00.0000,19.09,0.24,-0.0003310429450204075,8.348270087075989e-05,-2.520051799923916e-05,0.003136406229253477,0.002353252384085226,0.001095167540522611,1.977167185578213e-06,0.0003423358860825012,-0.002539693075490273,7.9825262041578595
83,99942 Apophis (2004 MN4),2462240.350694444,A.D. 2029-Apr-13 20:25:00.0000,19.09,0.24,-0.0003201077814564286,9.164189460734321e-05,-2.139457544284706e-05,0.003162436635693552,0.002346244493013317,0.001097028548538185,1.927024488171202e-06,0.0003336539471586688,-0.002459964139285146,7.780405344323032
84,99942 Apophis (2004 MN4),2462240.354166667,A.D. 2029-Apr-13 20:30:00.0000,19.09,0.24,-0.0003090802720742751,9.977460449761194e-05,-1.758247290895849e-05,0.003189596091830206,0.002337974053159476,0.001098709053830132,1.878550970286065e-06,0.0003252610177100186,-0.002373136562747338,7.585197457892523
85,99942 Apophis (2004 MN4),2462240.357638889,A.D. 2029-Apr-13 20:35:00.0000,19.09,0.24,-0.0002979565208385809,0.0001078761951379219,-1.376490921562783e-05,0.003217867478233223,0.002328294684044636,0.001100166683155417,1.831894219069863e-06,0.0003171826516589159,-0.002278689321105497,7.397511669323785
86,99942 Apophis (2004 MN4),2462240.361111111,A.D. 2029-Apr-13 20:40:00.0000,19.09,0.24,-0.0002867327261544217,0.0001159415085079354,-9.94273929381738e-06,0.003247212837020269,0.002317052094432525,0.001101353887224325,1.787212172821257e-06,0.0003094461951740675,-0.002176113841808883,7.217998869028453
87,99942 Apophis (2004 MN4),2462240.364583333,A.D. 2029-Apr-13 20:45:00.0000,19.09,0.24,-0.0002754052604366635,0.0001239648407946866,-6.116992035155797e-06,0.003277569184918681,0.002304086730320099,0.001102218055610543,1.744672692201352e-06,0.0003020807124279811,-0.002064932594749226,7.047349612983626
88,99942 Apophis (2004 MN4),2462240.368055556,A.D. 2029-Apr-13 20:50:00.0000,19.09,0.24,-0.0002639707644143396,0.0001319399303487337,-2.288887241535693e-06,0.003308844254901324,0.002289237568914505,0.001102701933720182,1.70445271384765e-06,0.0002951168390497635,-0.00194472217896908,6.886290243756007
89,99942 Apophis (2004 MN4),2462240.371527778,A.D. 2029-Apr-13 20:55:00.0000,19.09,0.24,-0.0002524262559190428,0.0001398599610320011,1.540149523260684e-06,0.003340912467695512,0.002272347214765212,0.001102744428086942,1.666736895690256e-06,0.0002885865475688931,-0.001815140885023902,6.735576860005603
90,99942 Apophis (2004 MN4),2462240.375,A.D. 2029-Apr-13 21:00:00.0000,19.09,0.24,-0.0002407692517086323,0.0001477175856863763,5.368475670487271e-06,0.003373611544154927,0.002253268381101952,0.001102281882233713,1.631715668715926e-06,0.0002825228100886215,-0.001675960211023806,6.595986806334503
91,99942 Apophis (2004 MN4),2462240.378472222,A.D. 2029-Apr-13 21:05:00.0000,19.09,0.24,-0.0002289978991595145,0.0001555049744149624,9.194225671237442e-06,0.003406740273363798,0.002231871715878858,0.001101249886710936,1.599582626032434e-06,0.0002769591462164825,-0.001527099131067383,6.468307423834747
92,99942 Apophis (2004 MN4),2462240.381944444,A.D. 2029-Apr-13 21:10:00.0000,19.09,0.24,-0.0002171111129058616,0.0001632138921474593,1.301531239409588e-05,0.003440058025090547,0.002208054753707445,0.001099585648989091,1.57053121376197e-06,0.0002719290501102451,-0.001368659085832542,6.3533219550843985
93,99942 Apophis (2004 MN4),2462240.385416667,A.D. 2029-Apr-13 21:15:00.0000,19.09,0.24,-0.0002051087092428265,0.0001708358086032615,1.682943760615739e-05,0.003473286607918288,0.002181751548245149,0.001097230888925312,1.544750736419252e-06,0.0002674652988305737,-0.001200956780877186,6.2517927164100975
94,99942 Apophis (2004 MN4),2462240.388888889,A.D. 2029-Apr-13 21:20:00.0000,19.09,0.24,-0.0001929915292351945,0.0001783620419173823,2.063411328720864e-05,0.003506114991627118,0.002152942288261196,0.001094135144967992,1.522421756979835e-06,0.0002635991558875452,-0.001024551090848106,6.164441929113302
95,99942 Apophis (2004 MN4),2462240.392361111,A.D. 2029-Apr-13 21:25:00.0000,19.09,0.24,-0.0001807615399664379,0.0001857839343084117,2.442669484974459e-05,0.003538207207631092,0.002121661967375843,0.001090259282960411,1.503711051251334e-06,0.0002603594976171081,-0.0008402598990642179,6.091930940515811
96,99942 Apophis (2004 MN4),2462240.395833333,A.D. 2029-Apr-13 21:30:00.0000,19.09,0.24,-0.0001684219027999541,0.0001930930546487705,2.820442647274005e-05,0.003569213407467884,0.002088007022334368,0.001085578908691947,1.488766359987063e-06,0.0002577719045377259,-0.0006491627910487538,6.034838896863616
97,99942 Apophis (2004 MN4),2462240.399305556,A.D. 2029-Apr-13 21:35:00.0000,19.09,0.24,-0.0001559769983603818,0.0002002814189555974,3.196449759501659e-05,0.00359878362269226,0.002052138843160032,0.001080087318895495,1.477711257055027e-06,0.0002558577728013826,-0.000452586364834414,5.993642218858385
98,99942 Apophis (2004 MN4),2462240.402777778,A.D. 2029-Apr-13 21:40:00.0000,19.09,0.24,-0.0001434324003151524,0.0002073417162653584,3.570410829572996e-05,0.003626583295721355,0.002014283241987025,0.001073797606748976,1.470640501381653e-06,0.0002546335094075871,-0.0002520705806564061,5.968696399226698
99,99942 Apophis (2004 MN4),2462240.40625,A.D. 2029-Apr-13 21:45:00.0000,19.09,0.24,-0.0001307947940809243,0.0002142675248511008,3.942054001486689e-05,0.003652309238889074,0.001974725359448714,0.001066743585136136,1.467616249978431e-06,0.0002541098765092616,-4.931690093776921e-05,5.960221633293513
100,99942 Apophis (2004 MN4),2462240.409722222,A.D. 2029-Apr-13 21:50:00.0000,19.09,0.24,-0.0001180718416001951,0.0002210535027339112,4.311122709172002e-05,0.003675704437328828,0.001933800046214713,0.001058979308322426,1.468665467101873e-06,0.0002542915428226953,0.0001538784134207018,5.968293576802666
101,99942 Apophis (2004 MN4),2462240.413194444,A.D. 2029-Apr-13 21:55:00.0000,19.09,0.24,-0.0001052719990785801,0.000227695537878124,4.677382410880464e-05,0.003696570124723491,0.001891878384636815,0.001050577145801627,1.473778774168857e-06,0.0002551768844965589,0.0003557001271318409,5.99284011101333
102,99942 Apophis (2004 MN4),2462240.416666667,A.D. 2029-Apr-13 22:00:00.0000,19.09,0.24,-9.240429941161435e-05,0.0002341908465614457,5.040626422631946e-05,0.003714773856709826,0.001849351577263405,0.001041624558199163,1.48291085147099e-06,0.0002567580546665896,0.0005543917158013206,6.033644424911986
